"","Ctr_1.bam","Ctr_2.bam","Ctr_3.bam","TTT_1.bam","TTT_2.bam","TTT_3.bam"
"ENSG00000227232",9.09219037580005,16.2770748794276,14.2497415179099,12.9687282577755,11.0637741473641,15.0001275010838
"ENSG00000279457",14.8893907788987,19.2018617718247,22.4707462397809,18.3460058280727,19.9612148952442,21.9679286628775
"ENSG00000225630",114.110705370395,191.382794480769,204.002709764949,154.174982885628,160.850254911677,170.082090859063
"ENSG00000237973",16.7722421918709,22.8642036196959,29.0171018516413,30.708472399001,41.7019179400645,36.5567623453832
"ENSG00000248527",422.675367851566,658.534843520341,862.018017336637,738.953918655444,711.305255847198,742.796636352054
"ENSG00000228327",3.56750794036841,8.2148362282111,7.45980058095709,4.53378304946624,4.10055964902304,7.01618866986176
"ENSG00000237491",1.28826675624415,2.54329294991056,3.59288354511403,2.02965869074942,1.8568571995576,2.85486297601272
"ENSG00000228794",12.0898880201374,15.1071601224687,13.1840557206303,12.6787770162399,11.6311471805622,13.4759209969414
"ENSG00000225880",0.718456460213083,1.60227455844365,2.28361242274197,1.95058107942152,2.19212308281106,2.32260038726458
"ENSG00000188976",127.290665261201,119.204140562308,115.916166578382,170.069582762536,172.042977475677,187.525787517581
"ENSG00000187961",19.5221962292382,28.3831493210018,33.8279120222177,26.4646405910703,32.8044771921843,36.8712811478252
"ENSG00000187583",4.13731823639948,4.19643336735242,4.08005419529898,3.87480295506707,4.82267078218433,5.46778841168537
"ENSG00000188290",30.2494944110405,31.8928935918784,38.5169295302478,30.8139092141048,43.6877235562581,38.4922626681036
"ENSG00000187608",96.1740682257651,88.8626556698749,91.2227042471324,59.3872861072525,67.4142322172719,62.9037604884158
"ENSG00000188157",234.935262489678,320.912704419714,334.199066026878,199.960919844482,222.539177430313,273.631358124609
"ENSG00000217801",17.7879909804481,21.6688559332379,26.824833925809,15.8155222655799,19.0585759787926,19.5727470135109
"ENSG00000273443",1.38736419903216,2.39069537291592,2.89257573547316,1.29160098502236,1.41843258299539,2.63711918970666
"ENSG00000237330",2.77472839806432,4.24729922635063,3.9887096983893,1.71334824543782,4.38424616562212,2.95163799214874
"ENSG00000131591",12.0155649380464,14.0135441540072,15.3154273151895,15.4201342089404,16.7632941626728,19.959847078055
"novel.13",3.54273357967141,7.80790935622541,12.1183699233507,4.82373429100187,4.51319458225806,6.87102614565772
