"","Reactions","bTS","mTS","wTS","rTS","Reaction Names","pathways","GPR","FC TTT vs Ctrl"
"1","MAR00025",614.749893143703,0.00226757596561571,378.448300322378,0.00226757596561571,"HMR_0025(MAR00025)","Transport reactions","ENSG00000065833 or ENSG00000101255 or ENSG00000105398 or ENSG00000112972 or ENSG00000123689 or ENSG00000130304 or ENSG00000139278 or ENSG00000143344 or ENSG00000146072 or ENSG00000146426 or ENSG00000147872 or ENSG00000170485 or ENSG00000198431",1.46349085687087
"2","MAR00030",614.749893143703,0.00226757596561571,378.448300322378,0.00226757596561571,"HMR_0030(MAR00030)","Transport reactions","ENSG00000004799 or ENSG00000005471 or ENSG00000026103 or ENSG00000072310 or ENSG00000099194 or ENSG00000100979 or ENSG00000105398 or ENSG00000108468 or ENSG00000110090 or ENSG00000110243 or ENSG00000113790 or ENSG00000117054 or ENSG00000118137 or ENSG00000130304 or ENSG00000134240 or ENSG00000134824 or ENSG00000135218 or ENSG00000138823 or ENSG00000147872 or ENSG00000149485 or ENSG00000151726 or ENSG00000156096 or ENSG00000157184 or ENSG00000158874 or ENSG00000161533 or ENSG00000163586 or ENSG00000165029 or ENSG00000166819 or ENSG00000166821 or ENSG00000167114 or ENSG00000167588 or ENSG00000167772 or ENSG00000169710 or ENSG00000175445 or ENSG00000176194 or ENSG00000177666 or ENSG00000185000 or ENSG00000185615 or ENSG00000187048 or ENSG00000278540",1.46349085687087
"3","MAR00050",806.213735973746,0.0536314155903884,447.447466336205,0.0536314155903884,"5-Formyltetrahydrofolate Transport via Anion Exchange(MAR00050)","Transport reactions","ENSG00000173638",0.65702164198431
"4","MAR00053",526.740638920207,0.125795707488574,311.239228206661,0.125795707488574,"5-Methyltetrahydrofolate Transport via Anion Exchange(MAR00053)","Transport reactions","ENSG00000173638",0.65702164198431
"5","MAR00060",16.2846336962778,-0.161885840899945,10.3747139388389,-0.161885840899945,"O-Acetylcarnintine Transport into Mitochondria via Diffusion(MAR00060)","Transport reactions","ENSG00000178537",-0.513196839424543
"6","MAR00079",602.808576003738,-0.124054485366783,373.76567308944,-0.124054485366783,"Arginine Mitochondrial Transport via Ornithine Carrier(MAR00079)","Transport reactions","ENSG00000102743 or ENSG00000120329",0.167146900446292
"7","MAR00090",856.646914529652,0.0463844149352242,425.942310746739,0.0463844149352242,"Glucuronidated Compound Transport(MAR00090)","Transport reactions",NA,0.855719913742009
"8","MAR00095",702.887183150164,0.0363822089999665,296.643862730121,0.0363822089999665,"Biotin Uptake (Antiport)(MAR00095)","Transport reactions","ENSG00000135917",0.681102842028333
"9","MAR00154",772.393107349697,0.0324638359613084,451.224198019105,0.0324638359613084,"RE2649C(MAR00154)","Acyl-CoA hydrolysis","ENSG00000097021 or ENSG00000119673 or ENSG00000123130 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669",-0.516442886882816
"10","MAR00155",676.521283418925,0.0464167623427724,435.178181537485,0.0464167623427724,"HMR_0155(MAR00155)","Transport reactions","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186",0.37363673795829
"11","MAR00158",12.7025097855694,-0.258338319367847,7.88490872169242,-0.258338319367847,"r1401(MAR00158)","Transport reactions","ENSG00000012660 or ENSG00000026652 or ENSG00000100344 or ENSG00000102125 or ENSG00000111684 or ENSG00000123684 or ENSG00000125505 or ENSG00000141446 or ENSG00000143797 or ENSG00000146648 or ENSG00000151093 or ENSG00000160216 or ENSG00000169359 or ENSG00000170522 or ENSG00000171320 or ENSG00000176454 or ENSG00000186792 or ENSG00000197977",0.0948759251262123
